what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.jboss.tools.jst.text.ext,3.2.0.v20101206-2100-H28-Beta2,"org.jboss.tools.jst.text.ext",1296927120167
stopped,bundle,org.jboss.tools.jst.web.kb,3.2.0.v20101206-2100-H28-Beta2,"org.jboss.tools.jst.web.kb",1296927120167
stopped,bundle,org.jboss.tools.common.el.ui,3.2.0.v20101206-2100-H28-Beta2,"org.jboss.tools.common.el.ui",1296927120173
stopped,bundle,org.jboss.tools.common.resref.ui,3.2.0.v20101206-2100-H28-Beta2,"org.jboss.tools.common.resref.ui",1296927120177
stopped,bundle,org.jboss.tools.common.verification.ui,3.1.0.v20101206-2100-H28-Beta2,"org.jboss.tools.common.verification.ui",1296927120177
stopped,bundle,org.jboss.tools.hibernate.xml.ui,3.4.0.v20101206-2100-H28-Beta2,"org.jboss.tools.hibernate.xml.ui",1296927120200
stopped,bundle,org.jboss.tools.common.model.ui,3.2.0.v20101206-2100-H28-Beta2,"org.jboss.tools.common.model.ui",1296927120200
stopped,bundle,org.jboss.tools.common.text.ext,3.2.0.v20101206-2100-H28-Beta2,"org.jboss.tools.common.text.ext",1296927120200
stopped,bundle,org.eclipse.tptp.platform.profile.server.wst,4.4.1.v201009092123,"org.eclipse.tptp.platform.profile.server.wst",1296927120200
stopped,bundle,org.eclipse.tptp.platform.profile.server.core,4.3.1.v201009092123,"org.eclipse.tptp.platform.profile.server.core",1296927120216
stopped,bundle,org.eclipse.tptp.platform.jvmti.client,4.5.1.v201009092123,"org.eclipse.tptp.platform.jvmti.client",1296927120279
stopped,bundle,org.eclipse.tptp.platform.integration.pde,4.5.1.v201009092123,"org.eclipse.tptp.platform.integration.pde",1296927120321
stopped,bundle,org.eclipse.tptp.platform.probekit.launch,4.5.0.v201005061600,"org.eclipse.tptp.platform.probekit.launch",1296927120357
stopped,bundle,org.eclipse.hyades.trace.ui,4.5.101.v201009092123,"org.eclipse.hyades.trace.ui",1296927120395
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1296927120428
stopped,bundle,org.hibernate.eclipse.jdt.apt.ui,3.3.0.v20101206-2100-H28-Beta2,"org.hibernate.eclipse.jdt.apt.ui",1296927120436
stopped,bundle,org.hibernate.eclipse.jdt.ui,3.4.0.v20101206-2100-H28-Beta2,"org.hibernate.eclipse.jdt.ui",1296927120436
stopped,bundle,org.hibernate.eclipse.mapper,3.4.0.v20101206-2100-H28-Beta2,"org.hibernate.eclipse.mapper",1296927120436
stopped,bundle,org.jboss.tools.hibernate.jpt.ui,3.4.0.v20101206-2100-H28-Beta2,"org.jboss.tools.hibernate.jpt.ui",1296927120474
stopped,bundle,org.jboss.tools.hibernate.jpt.core,3.4.0.v20101206-2100-H28-Beta2,"org.jboss.tools.hibernate.jpt.core",1296927120474
stopped,bundle,org.jboss.tools.hibernate.ui,3.4.0.v20101206-2100-H28-Beta2,"org.jboss.tools.hibernate.ui",1296927120507
stopped,bundle,org.jboss.tools.maven.hibernate,1.0.0.v20110121-1718-H21-CR1,"org.jboss.tools.maven.hibernate",1296927120507
stopped,bundle,org.hibernate.eclipse.console,3.4.0.v20101206-2100-H28-Beta2,"org.hibernate.eclipse.console",1296927120507
stopped,bundle,org.jboss.tools.common.el.core,3.2.0.v20101206-2100-H28-Beta2,"org.jboss.tools.common.el.core",1296927120507
stopped,bundle,org.jboss.tools.common.resref.core,3.1.0.v20101206-2100-H28-Beta2,"org.jboss.tools.common.resref.core",1296927120507
stopped,bundle,org.jboss.tools.jst.web.verification,3.1.0.v20101206-2100-H28-Beta2,"org.jboss.tools.jst.web.verification",1296927120507
stopped,bundle,org.jboss.tools.common.verification,3.2.0.v20101206-2100-H28-Beta2,"org.jboss.tools.common.verification",1296927120507
stopped,bundle,org.jboss.tools.hibernate.xml,3.3.0.v20101206-2100-H28-Beta2,"org.jboss.tools.hibernate.xml",1296927120507
stopped,bundle,org.jboss.tools.cdi.xml,1.0.0.v20101206-2100-H28-Beta2,"org.jboss.tools.cdi.xml",1296927120507
stopped,bundle,org.jboss.tools.esb.core,1.4.0.v20101206-2100-H28-Beta2,"org.jboss.tools.esb.core",1296927120507
stopped,bundle,org.jboss.tools.jst.web.tiles,3.1.0.v20101206-2100-H28-Beta2,"org.jboss.tools.jst.web.tiles",1296927120507
stopped,bundle,org.jboss.tools.seam.pages.xml,3.1.0.v20101206-2100-H28-Beta2,"org.jboss.tools.seam.pages.xml",1296927120507
stopped,bundle,org.jboss.tools.seam.xml,3.2.0.v20101206-2100-H28-Beta2,"org.jboss.tools.seam.xml",1296927120507
stopped,bundle,org.jboss.tools.jst.web,3.2.0.v20101206-2100-H28-Beta2,"org.jboss.tools.jst.web",1296927120507
stopped,bundle,org.jboss.tools.maven.jsf,1.0.0.v20110121-1718-H21-CR1,"org.jboss.tools.maven.jsf",1296927120508
stopped,bundle,org.jboss.tools.common.model,3.2.0.v20101206-2100-H28-Beta2,"org.jboss.tools.common.model",1296927120508
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1296927120531
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1296927120575
